codigo_estacion,fecha_observacion,valor_observado,nombre_estacion,departamento,municipio,latitud,longitud,unidad_medida
2120000104,2019-05-16 21:10:00,13.6,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.813,-74.031,°C
35025501,2019-05-25 15:25:00,23.36059,QUETAME  - AUT,CUNDINAMARCA,QUETAME,4.297941667,-73.87238889,°C
54035501,2019-06-01 16:05:00,21.52563,SANTIAGO GUTIERREZ  - AUT,VALLE DEL CAUCA,ARGELIA,4.726388889,-76.11446944,°C
23195240,2019-06-03 18:00:00,29.1,AGUACHICA - AUT,CESAR,AGUACHICA,8.123416667,-73.57986111,°C
26145507,2019-06-08 01:30:00,16.89208,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,5.038,-75.80599722,°C
2120000104,2019-06-08 19:57:00,12.21,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.813,-74.031,°C
26065501,2019-06-24 10:55:00,24.9455,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,3.215580556,-76.68021944,°C
35025501,2019-06-25 04:00:00,13.69915,QUETAME  - AUT,CUNDINAMARCA,QUETAME,4.297941667,-73.87238889,°C
16015110,2019-06-26 08:00:00,29.6,UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT,NORTE DE SANTANDER,CÚCUTA,7.898777778,-72.48716667,°C
53115502,2019-07-01 12:10:00,23.15257,JULIO FERNANDEZ  - AUT,VALLE DEL CAUCA,RESTREPO,3.809163889,-76.53305556,°C
26085501,2019-07-01 15:20:00,23.94954,LA CELIA  - AUT,RISARALDA,LA CELIA,5.001330556,-75.998,°C
23015501,2019-07-02 03:40:00,19.24062,FRESNO  - AUT,TOLIMA,FRESNO,5.155638889,-75.00313611,°C
26145506,2019-07-02 10:40:00,27.88343,FILO BONITO  - AUT,CALDAS,BELALCAZAR,4.986358333,-75.84574722,°C
35025502,2019-07-23 22:00:00,6.71,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",4.56,-74.0,°C
23190130,2019-07-24 07:00:00,16.5,TONA  - AUT,SANTANDER,TONA,7.196111111,-72.97055556,°C
2120000107,2019-07-26 17:35:00,13.61,LA FISCALA - AUT,BOGOTA D.C.,"BOGOTA, D.C",4.536,-74.106,°C
52015501,2019-08-11 17:55:00,23.20956,BALBOA  - AUT,CAUCA,BALBOA,2.125191667,-77.19266667,°C
