producto,categoria,mercado,precio_kg,variacion_pct
Limón Tahití,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",3025.0,-0.03
Limón Tahití,Frutas frescas,"oNoeoiovoao,o oSouoroaoboaosotoooso",4000.0,0.05
Limón Tahití,Frutas frescas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",2857.0,0.03
Limón Tahití,Frutas frescas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",2167.0,-0.1
Limón Tahití,Frutas frescas,"oPoeoroeoioroao,o o oMoeorocoaosoao",2450.0,0.03
Limón Tahití,Frutas frescas,oTouonojoao,3068.0,0.02
Lulo,Frutas frescas,"oAoromoeonoioao,o oMoeorocoaoro",4567.0,-0.09
Lulo,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",5025.0,0.0
Lulo,Frutas frescas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",5500.0,-0.01
Lulo,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",4692.0,-0.08
Lulo,Frutas frescas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",6500.0,-0.04
Lulo,Frutas frescas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",5333.0,0.03
Lulo,Frutas frescas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",6000.0,0.0
Lulo,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",4800.0,-0.02
Lulo,Frutas frescas,"oNoeoiovoao,o oSouoroaoboaosotoooso",5067.0,-0.05
Lulo,Frutas frescas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",3768.0,0.0
Lulo,Frutas frescas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",5700.0,-0.01
Lulo,Frutas frescas,"oPoeoroeoioroao,o o oMoeorocoaosoao",5633.0,0.06
Lulo,Frutas frescas,oTouonojoao,4600.0,-0.01
Mandarina,Frutas frescas,"oAoromoeonoioao,o oMoeorocoaoro",2933.0,0.0
Mandarina,Frutas frescas,"oBooogoootoáo,o oCoooroaoboaosotoooso",4773.0,0.02
Mandarina,Frutas frescas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",4185.0,0.03
Mandarina,Frutas frescas,"oCoaoloio,o o oCoaovoaosoao",4250.0,-0.06
Mandarina,Frutas frescas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",5000.0,0.02
Mandarina,Frutas frescas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",3000.0,0.11
Mandarina,Frutas frescas,"oMoeodoeololoíono,o oCoMoAo",3375.0,0.03
Mandarina,Frutas frescas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",2733.0,-0.09
