codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0035025502,0068,2019-07-23T22:00:00.000,6.71,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0026155503,0068,2018-11-29T13:00:00.000,30.19012,PLANALTO  - AUT,CALDAS,MANIZALES,CAUCA,4.989722222,-75.58971944,Temp Aire 2 m,°C
0026065501,0068,2018-09-30T05:05:00.000,17.1172,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.215580556,-76.68021944,Temp Aire 2 m,°C
2120700037,0068,2018-11-11T10:54:00.000,17.34,CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.556,-74.125,Temp Aire 2 m,°C
2120000105,0068,2019-03-11T09:32:00.000,12.94,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Temp Aire 2 m,°C
0044015070,0068,2017-02-26T01:00:00.000,21,EL PEPINO - AUT,PUTUMAYO,MOCOA,CAQUETÁ,1.082888889,-76.66711111,Temp Aire 2 m,°C
0048015040,0068,2019-02-14T06:00:00.000,23.7,PTO NARIÑO,AMAZONAS,PUERTO NARIÑO,AMAZONAS - DIRECTOS,-3.78,-70.363,Temp Aire 2 m,°C
0054035501,0068,2018-12-20T01:55:00.000,18.02771,SANTIAGO GUTIERREZ  - AUT,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.726388889,-76.11446944,Temp Aire 2 m,°C
0016025502,0068,2017-06-07T01:30:00.000,21.00146,FRANCISCO ROMERO  - AUT,NORTE DE SANTANDER,SALAZAR,CATATUMBO,7.739166667,-72.78055278,Temp Aire 2 m,°C
0052055502,0068,2019-02-09T10:05:00.000,23.59288,SANDONA  - AUT,NARIÑO,SANDONÁ,PATÍA,1.300888889,-77.46035833,Temp Aire 2 m,°C
0051025060,0068,2015-05-06T22:00:00.000,23.6,BIOTOPO - AUT,NARIÑO,BARBACOAS,MIRA,1.408638889,-78.28161111,Temp Aire 2 m,°C
0021205522,0068,2019-05-06T00:10:00.000,13.246,TABIO  - AUT,CUNDINAMARCA,TABIO,ALTO MAGDALENA,4.918,-74.029,Temp Aire 2 m,°C
0021105501,0068,2017-11-28T20:45:00.000,19.26281,ALGECIRAS  - AUT,HUILA,ALGECIRAS,ALTO MAGDALENA,2.595027778,-75.22852778,Temp Aire 2 m,°C
0026145505,0068,2019-02-19T09:10:00.000,23.0576,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,CAUCA,4.979219444,-75.83555556,Temp Aire 2 m,°C
0025025002,0068,2016-12-11T16:00:00.000,35.1,LOS ALAMOS,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA,BAJO MAGDALENA,9.304,-74.274,Temp Aire 2 m,°C
0023085501,0068,2019-05-14T19:10:00.000,20.90938,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
