codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,valorobservado_lag_1,valorobservado_lag_2,valorobservado_lag_7,valorobservado_rolling_mean_7,valorobservado_rolling_std_7,valorobservado_rolling_mean_14,valorobservado_rolling_std_14,sin_mes,cos_mes,sin_dia_ano,cos_dia_ano,sin_dia_semana,cos_dia_semana
26145506,240,2020-03-11 06:35:00,0.0,FILO BONITO  - AUT,CALDAS,BELALCAZAR,CAUCA,4.986358333,-75.84574722,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26075150,240,2020-03-11 06:40:00,0.0,APTO ALFONSO BONILLA ARAGON - TX GPRS,VALLE DEL CAUCA,PALMIRA,CAUCA,3.533,-76.382,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
3518700145,240,2020-03-11 07:00:00,0.0,TUA BALNEARIO - AUT,CASANARE,MONTERREY,META,4.88565,-72.900888889,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
47015100,240,2020-03-11 07:10:00,0.0,EL ENCANO - AUT,NARIÑO,PASTO,PUTUMAYO,1.159944444,-77.16147222,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21205910,240,2020-03-11 07:10:00,0.0,LA COSECHA - AUT,CUNDINAMARCA,ZIPAQUIRÁ,ALTO MAGDALENA,4.989222222,-74.00119444,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
29004520,240,2020-03-11 07:20:00,0.0,ESCUELA NAVAL BARRANQUILLA  - AUT,ATLANTICO,BARRANQUILLA,BAJO MAGDALENA,11.00638889,-74.785,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26125504,240,2020-03-11 07:25:00,0.0,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,CAUCA,4.395555556,-75.73416667,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
2308500071,240,2020-03-11 07:30:00,0.0,RETIRO - AUT,ANTIOQUIA,RETIRO,MEDIO MAGDALENA,6.060275,-75.509513889,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26145505,240,2020-03-11 07:30:00,0.0,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,CAUCA,4.979219444,-75.83555556,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
24017600,240,2020-03-11 07:40:00,0.0,MONIQUIRA  - AUT,BOYACÁ,MONIQUIRÁ,SOGAMOSO,5.878138889,-73.57025,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
29047070,240,2020-03-11 07:40:00,0.0,SAN PEDRITO - TX GPRS,ATLÁNTICO,SUAN,BAJO MAGDALENA,10.268,-74.908,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
23085501,240,2020-03-11 07:50:00,0.0,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
2125700094,240,2020-03-11 08:20:00,0.0,RECIO 1 - AUT,TOLIMA,LÍBANO,ALTO MAGDALENA,4.873833333,-75.042583333,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
33035010,240,2020-03-11 08:20:00,0.0,CARIMAGUA,META,PUERTO GAITÁN,VICHADA,4.574,-71.341,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
21137030,240,2020-03-11 08:30:00,0.0,PUENTE CARRETERA  - AUT,HUILA,AIPE,ALTO MAGDALENA,3.263416667,-75.25097222,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
1602500110,240,2020-03-11 08:50:00,0.0,ARBOLEDAS - AUT,NORTE DE SANTANDER,ARBOLEDAS,CATATUMBO,7.645111111,-72.799169444,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
44017070,240,2020-03-11 08:50:00,0.0,SANTA ROSA  - AUT,CAUCA,SANTA ROSA,CAQUETÁ,1.705,-76.56222222,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
28045501,240,2020-03-11 09:00:00,0.0,PUEBLO BELLO  - AUT,CESAR,PUEBLO BELLO,CESAR,10.42166667,-73.57471944,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
